ResponseId,mean.acc,mean.self,DURATION,AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,education,ethnicity,gender
R_AG4jiTm8oxmuOOZ,0.9,7.6,1283,18,4,2,5,35,10,40,Further,White,Female
R_2Ckb6YXLPGwYSvg,0.95,7.2,1602,18,5,2,1,35,9,47,Further,Asian,Male
R_27JY5xHHcMs7jGi,0.9,6.8,1428,18,4,2,5,35,8,52,Further,White,Female
R_1DtJ4mrOXmxre01,0.85,6.4,1389,19,4,2,5,33,9,41,Further,White,Female
R_PRFQFInzSS6T8e5,0.9,6.2,1057,19,4,2,3,36,5,52,Further,Mixed,Female
R_OvCKBtcNgZ61En7,1,5.4,812,18,4,2,5,27,10,40,Further,White,Female
R_2v6QKhexIfefk5c,0.85,7.6,1592,19,4,2,5,30,9,58,Further,White,Female
R_1diBNAuzsM3IRyx,0.85,6.2,1531,18,4,2,5,26,7,52,Further,White,Female
R_2f1lm6rqRyFaJeW,0.5,4.6,808,18,4,2,5,33,7,47,Further,White,Female
R_Ab7lWHpYejFRDMJ,0.85,7.6,1031,19,4,2,5,38,4,50,Further,White,Female
R_3QJAyG4WffJF8Jj,0.9,8.4,1308,19,4,2,5,26,8,55,Further,White,Female
R_2COmL4bjyYGrq1f,0.85,5.4,3424,19,4,2,5,28,9,41,Further,White,Female
R_2bIWkifPugWuyWZ,0.95,6.6,8043,19,4,2,5,31,7,38,Further,White,Female
R_11Zp9DQMbCLUYGR,0.95,6.6,1662,19,4,2,5,24,6,47,Further,White,Female
R_3mlq7srR6DKYD4M,0.9,5.6,891,22,4,2,5,32,8,54,Further,White,Female
R_CZAcx6qbxHxAwYp,0.8,6.8,3076,18,4,2,5,37,10,40,Further,White,Female
R_3NEctjt5cRIBZ4d,0.8,7.6,2357,18,4,2,5,35,10,50,Further,White,Female
R_20SXRLc9UB5ki7F,0.95,7.8,2298,22,4,2,5,40,9,60,Further,White,Female
R_1F2rjWa0x3KW25O,0.8,6,12750,20,4,1,5,29,6,43,Secondary,White,Female
R_2rCHvq0otzksf9G,0.9,5.2,4812,19,4,2,5,40,6,51,Further,White,Female
R_2wLGHjrkmpezLFY,0.8,7.2,2726,18,4,2,5,30,3,48,Further,White,Female
R_1n3pzuEkgAcjF5V,0.9,6.6,925,19,4,2,5,40,7,50,Further,White,Female
R_su85AohLlI9yTsd,0.9,7.8,2193,19,4,2,5,31,8,49,Further,White,Female
R_1IKkqTuD8pUC3L0,0.9,6.8,1224,18,4,2,3,29,9,43,Further,Mixed,Female
R_1Q9P9ANUfDiFfcW,0.9,6.6,11402,18,4,2,1,35,9,51,Further,Asian,Female
R_1mgUEAGbn97nwQ5,0.95,7.4,1189,19,4,2,5,34,10,48,Further,White,Female
R_12c2eGstiucsOlg,0.95,8.4,2443,18,4,2,2,29,8,47,Further,Black,Female
R_2wQDKNn8DT6jYgi,0.95,5.8,1990,20,4,2,5,31,9,42,Further,White,Female
R_21tV9AwAxOBL6xM,0.85,9,2964,20,4,2,1,25,11,59,Further,Asian,Female
R_1meCsg3zy0WdTvl,0.85,6.8,1066,19,5,2,5,37,5,48,Further,White,Male
R_2E5mgVeIuW3exol,0.85,7.8,1907,21,4,1,5,39,8,51,Secondary,White,Female
R_2rYPmJt1SdUVkdB,0.9,6.8,1500,19,4,2,5,32,8,37,Further,White,Female
R_2CCArkbihFlMtrE,0.9,6.8,3276,21,4,2,5,37,7,46,Further,White,Female
R_1JWsIzSkYqVyUDg,0.65,5,1093,18,4,2,5,30,5,48,Further,White,Female
R_Qiyq7giYqePjsI1,0.9,7.4,1540,18,4,2,5,36,4,42,Further,White,Female
R_yISV1rZS51ztlrH,1,7.6,1727,19,5,2,5,40,8,49,Further,White,Male
R_ZBSaRD8yuHBhG3D,0.95,7,2217,18,4,2,5,36,9,59,Further,White,Female
R_2RaXklWw9O03Gw8,0.9,7.8,855,19,4,2,5,35,9,52,Further,White,Female
R_29iCxajSEmVYVrY,0.9,6.6,46925,19,4,2,5,26,10,30,Further,White,Female
R_1N9pW2sGBUaHOEL,0.9,7,916,18,4,2,5,37,6,51,Further,White,Female
R_3oXuoZqGM5UhxBP,0.8,7.2,1026,18,4,2,2,32,10,53,Further,Black,Female
R_87x6yxnxFEzGZbP,0.85,8,2502,21,4,2,5,32,9,52,Further,White,Female
R_2z5AQIKSqoBYJNg,0.95,7.2,1036,19,4,2,5,28,6,49,Further,White,Female
R_1dnrhFVZbDQGNyx,0.75,8.4,1320,20,4,2,5,30,7,43,Further,White,Female
R_SJEO6xOzRqXYesx,1,9,1750,19,4,2,5,33,10,51,Further,White,Female
R_2B5MLi7jNGCMaJ3,0.95,7.6,1319,18,4,2,5,31,7,56,Further,White,Female
R_1qTXIciwwDPemw5,0.75,6.6,1391,19,4,2,5,33,9,36,Further,White,Female
R_2CNtHVqy594Y9DW,0.9,9,1623,19,4,2,5,39,12,50,Further,White,Female
R_BM5dpla7yDHtjC9,0.9,5.8,2178,18,4,2,5,34,9,45,Further,White,Female
R_3iKK7AH03T6bbIN,0.9,4.4,1372,18,4,2,5,34,8,45,Further,White,Female
R_1GwugadQLUcLgA5,0.95,5.4,1221,19,4,2,5,29,7,50,Further,White,Female
R_Oqbx9KMzcHaiUyB,0.95,7.2,5516,19,5,2,1,33,9,46,Further,Asian,Male
R_22nrhb8VhgBlZiI,0.95,8,1269,18,4,2,5,30,9,47,Further,White,Female
R_3kpttsvsXzIAKiH,0.85,5,1003,18,5,2,5,30,8,43,Further,White,Male
R_3EgqUuOc58fFts2,0.95,7.8,1480,19,4,2,5,33,9,49,Further,White,Female
R_2uvw0EGsQVd1fZy,0.95,5.4,1592,18,4,2,5,38,10,55,Further,White,Female
R_24o689dhwHsH3Hg,0.95,7.6,2695,20,4,2,1,39,10,49,Further,Asian,Female
R_3dG5LhZtSIT1Vn2,0.6,6.8,690,19,4,2,5,33,8,42,Further,White,Female
R_2YKYgcXf2Z6TgSK,0.9,8.4,2527,18,4,2,5,39,12,57,Further,White,Female
R_1lauQdjZXVCUMYD,0.85,6.6,2665,18,4,2,5,25,8,40,Further,White,Female
R_pgDCe3eF71MvuQV,0.9,6.4,4555,18,4,2,5,35,11,41,Further,White,Female
R_2wSjtdI3pGXwCOh,0.55,5.8,651,18,4,3,1,25,10,37,Higher,Asian,Female
R_DNxvom42Oa1L0DD,0.9,8,1546,38,4,3,4,37,7,59,Higher,Other,Female
R_3fl3FDYmP3AOqgF,0.9,7.4,1828,19,4,2,5,33,9,44,Further,White,Female
R_Y0xsDEWnLxRBTq1,0.95,7.2,4772,18,5,2,5,34,11,46,Further,White,Male
R_2rTMBmyC8nxyjx7,0.85,7.4,728,19,4,2,5,25,6,44,Further,White,Female
R_1eIv7pp8VyPT6op,0.35,6.8,1085,18,5,2,5,35,5,51,Further,White,Male
R_9zdtrwA7L8WCKBj,1,8.4,226468,18,4,1,5,33,6,48,Secondary,White,Female
R_poveQ0bvSluOrCx,0.75,7,1091,18,4,2,5,22,9,34,Further,White,Female
R_1ocHh1I1ZyvkuTh,0.85,4.6,3257,19,4,2,1,24,11,50,Further,Asian,Female
R_2easa22hEACdL47,0.55,5,1389,19,4,2,5,24,8,38,Further,White,Female
R_2ztLLWH2UZvX7ce,0.95,7.8,4772,19,4,1,5,40,10,51,Secondary,White,Female
R_Pzj4wRlzwAHFxXX,0.65,3.4,3510,19,4,2,2,23,9,48,Further,Black,Female
R_3KPCldHdXVqEh8E,0.95,5.8,1268,19,4,2,5,27,13,37,Further,White,Female
R_1kN3L2LqHjEVTYm,0.4000000000000001,5,559,32,5,2,5,35,10,45,Further,White,Male
R_vAeXZwxNPPzzZap,0.9,7.6,3243,18,4,1,1,37,6,31,Secondary,Asian,Female
R_3EMvdiv8RgR3c1f,0.85,7.8,1840,20,4,2,3,34,12,48,Further,Mixed,Female
R_XR000PJMIGPDe6d,0.85,7,1300,19,4,2,3,29,11,48,Further,Mixed,Female
R_AMQGliUI6h3gVHj,0.75,6.4,2041,18,4,3,5,34,8,51,Higher,White,Female
R_3Rg3BpefTQXB6YC,0.9,6,1741,19,4,2,5,39,10,30,Further,White,Female
R_2eRTG8ZkHHNGxOZ,0.95,6.8,5203,19,4,2,5,32,8,40,Further,White,Female
R_r8S07gbNxmlBtAt,0.75,7.2,1935,18,5,1,5,28,8,47,Secondary,White,Male
R_2OZw1R23oB0NTYg,0.95,6.8,2231,19,7,2,5,40,9,62,Further,White,Prefer-not-to-say
R_1eJER0Z4zgDssfU,0.75,7.8,63242,18,4,2,5,33,12,56,Further,White,Female
R_12mP5jzvMLmsGD5,0.75,7.2,53274,19,5,1,1,34,6,36,Secondary,Asian,Male
R_2l4IILs3hL8ao8h,0.95,6.4,1255,18,4,1,5,37,9,43,Secondary,White,Female
R_21sKWpHKVNSCtU4,1,8,11878,18,4,2,5,30,7,46,Further,White,Female
R_3hciYdallSGaEYy,0.85,7,1510,19,4,2,5,39,11,45,Further,White,Female
R_12b78sFruyrzt4w,0.9,4.2,1576,23,4,2,5,31,4,32,Further,White,Female
R_2rCa7Xf0hhZjAWq,0.8,7.2,341524,25,5,2,3,39,9,47,Further,Mixed,Male
R_3q8UXObXG8gZRY5,0.95,6.8,1136,18,4,2,5,32,11,47,Further,White,Female
R_2VqAwTruU24iUQd,0.9,6.6,11939,18,4,1,1,24,7,45,Secondary,Asian,Female
R_2dFI4DhPOCIXoGV,0.85,3.6,1475,20,4,2,5,34,11,47,Further,White,Female
